Futures_Contract_Type,Date,Open,High,Low,Last,Change,%Chg,Volume,Open Int,day_of_week,contract_month,contract_year
KEH05,2003-11-12,374.0,374.0,374.0,374.0,0.0,0.00%,0.0,1.0,2.0,3,2005
KEH05,2003-11-19,374.0,374.0,374.0,374.0,0.0,0.00%,0.0,1.0,2.0,3,2005
KEH05,2003-11-26,374.0,374.0,374.0,374.0,0.0,0.00%,0.0,1.0,2.0,3,2005
KEH05,2003-12-03,390.0,390.0,390.0,390.0,5.0,+1.30%,0.0,1.0,2.0,3,2005
KEH05,2003-12-10,393.0,393.0,383.0,393.0,0.0,0.00%,0.0,1.0,2.0,3,2005
KEH05,2003-12-17,393.0,393.0,393.0,393.0,0.0,0.00%,0.0,1.0,2.0,3,2005
KEH05,2003-12-24,387.0,387.0,387.0,387.0,0.0,0.00%,0.0,2.0,2.0,3,2005
KEH05,2003-12-31,378.0,378.0,378.0,378.0,0.0,0.00%,0.0,2.0,2.0,3,2005
KEH05,2004-01-07,399.0,399.0,399.0,399.0,2.0,+0.50%,0.0,6.0,2.0,3,2005
KEH05,2004-01-14,407.0,407.0,407.0,407.0,2.0,+0.49%,0.0,7.0,2.0,3,2005
KEH05,2004-01-21,409.0,409.0,409.0,409.0,0.0,0.00%,0.0,8.0,2.0,3,2005
KEH05,2004-01-28,398.0,398.0,398.0,398.0,0.0,0.00%,0.0,8.0,2.0,3,2005
KEH05,2004-02-04,398.0,398.0,398.0,398.0,0.0,0.00%,0.0,8.0,2.0,3,2005
KEH05,2004-02-11,390.25,397.0,390.25,397.0,0.0,0.00%,0.0,8.0,2.0,3,2005
KEH05,2004-02-18,394.0,394.0,394.0,394.0,-1.0,-0.25%,0.0,8.0,2.0,3,2005
KEH05,2004-02-25,408.0,408.0,404.0,404.0,-3.0,-0.74%,1.0,8.0,2.0,3,2005
KEH05,2004-03-03,400.0,400.0,398.0,398.0,-3.5,-0.87%,2.0,10.0,2.0,3,2005
KEH05,2004-03-10,389.0,393.0,388.0,388.0,-5.0,-1.27%,5.0,14.0,2.0,3,2005
KEH05,2004-03-17,407.0,407.0,407.0,407.0,6.0,+1.50%,1.0,13.0,2.0,3,2005
KEH05,2004-03-24,434.0,434.0,429.0,432.0,1.0,+0.23%,7.0,28.0,2.0,3,2005
KEH05,2004-03-31,430.0,430.0,420.0,422.0,-13.0,-2.99%,1.0,47.0,2.0,3,2005
KEH05,2004-04-07,439.0,439.0,439.0,439.0,5.0,+1.15%,0.0,49.0,2.0,3,2005
KEH05,2004-04-14,420.0,429.0,420.0,429.0,8.0,+1.90%,42.0,89.0,2.0,3,2005
KEH05,2004-04-21,421.0,421.0,415.0,418.0,-7.0,-1.65%,2.0,93.0,2.0,3,2005
KEH05,2004-04-28,414.0,414.5,409.5,412.0,-5.0,-1.20%,119.0,366.0,2.0,3,2005
KEH05,2004-05-05,438.5,442.0,438.5,442.0,-1.0,-0.23%,43.0,431.0,2.0,3,2005
KEH05,2004-05-12,415.0,416.5,404.5,410.0,-8.5,-2.03%,27.0,460.0,2.0,3,2005
KEH05,2004-05-19,411.0,412.5,411.0,411.0,5.0,+1.23%,136.0,523.0,2.0,3,2005
KEH05,2004-05-26,416.5,416.5,416.5,416.5,4.0,+0.97%,58.0,618.0,2.0,3,2005
